Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари,kod
08.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
07.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
06.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
05.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
04.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
01.11.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
31.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
30.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
29.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
28.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
25.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
24.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
22.10.2024,"1.650,00",,,"1.650,00",0.0,0.0,0.0,0.0,ADIN
21.10.2024,"1.650,00","1.650,00","1.650,00","1.650,00",-294.0,208.0,343.2,343.2,ADIN
18.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00",0.0,2.0,3.4,3.4,ADIN
17.10.2024,"1.700,00",,,"1.700,00",0.0,0.0,0.0,0.0,ADIN
16.10.2024,"1.700,00",,,"1.700,00",0.0,0.0,0.0,0.0,ADIN
15.10.2024,"1.700,00",,,"1.700,00",0.0,0.0,0.0,0.0,ADIN
14.10.2024,"1.700,00",,,"1.700,00",0.0,0.0,0.0,0.0,ADIN
10.10.2024,"1.700,00","1.700,00","1.700,00","1.700,00",-286.0,200.0,340.0,340.0,ADIN
08.11.2024,"23.299,00","23.400,00","23.010,00","23.193,84",85.0,64.0,1.484.406,1.484.406,ALK
07.11.2024,"23.000,00","23.000,00","22.990,00","22.997,62",228.0,130.0,2.989.691,2.989.691,ALK
06.11.2024,"22.500,00","22.502,00","22.301,00","22.484,06",83.0,187.0,4.204.519,4.204.519,ALK
05.11.2024,"22.300,00","22.300,00","22.298,00","22.299,74",3.0,3.434,76.577.300,76.577.300,ALK
04.11.2024,"22.300,00","22.300,00","22.250,00","22.293,98",-10.0,408.0,9.095.944,9.095.944,ALK
01.11.2024,"22.300,00","22.351,00","22.300,00","22.316,35",11.0,712.0,15.889.243,26.615.543,ALK
31.10.2024,"22.250,00","22.310,00","22.250,00","22.291,33",19.0,218.0,4.859.510,4.859.510,ALK
30.10.2024,"22.250,00","22.250,00","22.250,00","22.250,00",-1.0,86.0,1.913.500,1.913.500,ALK
29.10.2024,"22.200,00","22.260,00","22.200,00","22.252,00",-7.0,125.0,2.781.500,2.781.500,ALK
28.10.2024,"22.300,00","22.350,00","22.250,00","22.266,81",18.0,111.0,2.471.616,2.471.616,ALK
25.10.2024,"22.200,00","22.251,00","22.200,00","22.225,74",-8.0,339.0,7.534.525,7.534.525,ALK
24.10.2024,"22.250,00","22.251,00","22.200,00","22.243,51",-20.0,359.0,7.985.420,7.985.420,ALK
22.10.2024,"22.250,00","22.500,00","22.200,00","22.288,64",6.0,78.0,1.738.514,1.738.514,ALK
21.10.2024,"22.250,00","22.300,00","22.200,00","22.274,43",9.0,298.0,6.637.780,6.637.780,ALK
18.10.2024,"22.250,00","22.300,00","22.249,00","22.254,15",4.0,222.0,4.940.421,4.940.421,ALK
17.10.2024,"22.250,00","22.296,00","22.160,00","22.246,02",47.0,317.0,7.051.987,7.051.987,ALK
16.10.2024,"22.295,00","22.295,00","22.100,00","22.140,92",-45.0,74.0,1.638.428,1.638.428,ALK
15.10.2024,"22.101,00","22.300,00","22.100,00","22.240,91",-27.0,92.0,2.046.164,2.046.164,ALK
14.10.2024,"22.300,00","22.350,00","22.300,00","22.301,63",-21.0,195.0,4.348.818,4.348.818,ALK
10.10.2024,"22.350,00","22.400,00","22.300,00","22.347,50",27.0,177.0,3.955.508,3.955.508,ALK
08.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
07.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
06.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
05.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
04.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
01.11.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
31.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
30.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
29.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
28.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
25.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
24.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
22.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
21.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
18.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
17.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
16.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
15.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
14.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
10.10.2024,"18.510,00",,,"18.510,00",0.0,0.0,0,0,ALKB
08.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
07.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
06.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
05.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
04.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
01.11.2024,30000,,,30000,0.0,0.0,0,0,AMEH
31.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
30.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
29.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
28.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
25.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
24.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
22.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
21.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
18.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
17.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
16.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
15.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
14.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
10.10.2024,30000,,,30000,0.0,0.0,0,0,AMEH
08.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
07.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
06.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
05.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
04.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
01.11.2024,75000,,,75000,0.0,0.0,0,0,APTK
31.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
30.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
29.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
28.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
25.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
24.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
22.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
21.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
18.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
17.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
16.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
15.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
14.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
10.10.2024,75000,,,75000,0.0,0.0,0,0,APTK
08.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
07.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
06.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
05.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
04.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
01.11.2024,92300,,,92300,0.0,0.0,0,0,ATPP
31.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
30.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
29.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
28.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
25.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
24.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
22.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
21.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
18.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
17.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
16.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
15.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
14.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
10.10.2024,92300,,,92300,0.0,0.0,0,0,ATPP
08.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
07.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
06.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
05.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
04.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
01.11.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
31.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
30.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
29.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
28.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
25.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
24.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
22.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
21.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
18.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
17.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
16.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,3.300.000,AUMK
15.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
14.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
10.10.2024,"3.030,00",,,"3.030,00",0.0,0.0,0,0,AUMK
08.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
07.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
06.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
05.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
04.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
01.11.2024,60300,,,60300,0.0,0.0,0,0,BANA
31.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
30.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
29.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
28.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
25.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
24.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
22.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
21.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
18.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
17.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
16.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
15.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
14.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
10.10.2024,60300,,,60300,0.0,0.0,0,0,BANA
08.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
07.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
06.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
05.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
04.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
01.11.2024,15800,,,15800,0.0,0.0,0,0,BGOR
31.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
30.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
29.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
28.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
25.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
24.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
22.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
21.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
18.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
17.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
16.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
15.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
14.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
10.10.2024,15800,,,15800,0.0,0.0,0,0,BGOR
08.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
07.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
06.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
05.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
04.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
01.11.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
31.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
30.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
29.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
28.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
25.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
24.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
22.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
21.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
18.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
17.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
16.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
15.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
14.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
10.10.2024,"1.086,00",,,"1.086,00",0.0,0.0,0,0,BIKF
08.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
07.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
06.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
05.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
04.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
01.11.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
31.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
30.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
29.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
28.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
25.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
24.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
22.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
21.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
18.10.2024,"18.001,00",,,"18.001,00",0.0,0.0,0,0,BIM
